school,conference,song_name,writers,year,student_writer,official_song,bpm,sec_duration,fight,number_fights,victory_win_won,rah,nonsense,colors,men,opponents,spelling,trope_count,rank,
Notre Dame,Independent,Victory March,Michael J. Shea and John F. Shea,1908,No,Yes,152,64,Yes,1,Yes,Yes,No,Yes,Yes,No,No,6,5,
Baylor,Big 12,Old Fight,Dick Baker and Frank Boggs,1947,Yes,Yes,76,99,Yes,4,Yes,No,No,Yes,No,No,Yes,5,48,
Iowa State,Big 12,Iowa State Fights,"Jack Barker, Manly Rice, Paul Gnam, Rosalind K. Cook",1930,Yes,Yes,155,55,Yes,5,No,Yes,No,No,Yes,No,Yes,4,120,
Kansas,Big 12,I'm a Jayhawk,"George ""Dumpy"" Bowles",1912,Yes,Yes,137,62,No,0,No,No,Yes,No,Yes,Yes,No,3,64,
Kansas State,Big 12,Wildcat Victory,Harry E. Erickson,1927,Yes,Yes,80,67,Yes,6,Yes,No,No,Yes,No,No,No,3,50,
Oklahoma,Big 12,Boomer Sooner,Arthur M. Alden,1905,Yes,Yes,153,37,No,0,No,Yes,No,No,No,No,Yes,2,1,
Oklahoma State,Big 12,Ride 'Em Cowboys,J.K. Long,1934,No,Yes,180,29,Yes,5,Yes,No,No,No,Yes,Yes,No,4,46,
Texas,Big 12,Texas Fight,"Walter S. Hunnicutt, James E. King and Burnett Pharr",1923,No,Yes,81,65,Yes,17,Yes,No,No,Yes,No,Yes,No,4,7,
TCU,Big 12,TCU Fight Song,Claude Sammis,1928,No,Yes,149,47,Yes,2,Yes,Yes,No,Yes,Yes,No,Yes,6,28,
Texas Tech,Big 12,"Fight, Raiders, Fight",Carroll McMath,1936,Yes,Yes,159,54,Yes,8,Yes,No,No,Yes,No,No,No,3,63,
West Virginia,Big 12,Hail West Virginia,"Earl Miller, Ed McWhorter and Fred Deem",1915,Yes,Yes,152,92,No,0,No,No,No,No,Yes,No,No,1,40,
Illinois,Big Ten,Oskee-Wow-Wow,H.R. Green and H.V. Hill,1910,Yes,Yes,162,60,No,0,Yes,Yes,Yes,Yes,Yes,Yes,No,6,48,
